warning: Feature js of package getrandom has been obsolete in version 0.4.2
warning: Feature simple of package pbkdf2 has been obsolete in version 0.13.0
Name                                             Project                         Compat   Latest   Kind         Platform
hyper-tls->native-tls                            0.2.18                          ---      Removed  Normal       ---
hyper-tls->tokio                                 1.52.1                          ---      Removed  Normal       ---
hyper-tls->tokio-native-tls                      0.3.1                           ---      Removed  Normal       ---
hyper-util->libc                                 0.2.185                         0.2.186  0.2.186  Normal       ---
iana-time-zone-haiku->cc                         1.2.60                          1.2.61   1.2.61   Build        ---
icu_collections->displaydoc                      0.2.5                           ---      Removed  Normal       ---
icu_collections->potential_utf                   0.1.5                           ---      Removed  Normal       ---
icu_collections->utf8_iter                       1.0.4                           ---      Removed  Normal       ---
icu_collections->yoke                            0.8.2                           ---      Removed  Normal       ---
icu_collections->zerofrom                        0.1.7                           ---      Removed  Normal       ---
icu_collections->zerovec                         0.11.6                          ---      Removed  Normal       ---
icu_locale_core->displaydoc                      0.2.5                           ---      Removed  Normal       ---
icu_locale_core->litemap                         0.8.2                           ---      Removed  Normal       ---
icu_locale_core->tinystr                         0.8.3                           ---      Removed  Normal       ---
icu_locale_core->writeable                       0.6.3                           ---      Removed  Normal       ---
icu_locale_core->zerovec                         0.11.6                          ---      Removed  Normal       ---
icu_normalizer->icu_collections                  2.2.0                           ---      Removed  Normal       ---
icu_normalizer->icu_normalizer_data              2.2.0                           ---      Removed  Normal       ---
icu_normalizer->icu_properties                   2.2.0                           ---      Removed  Normal       ---
icu_normalizer->icu_provider                     2.2.0                           ---      Removed  Normal       ---
icu_normalizer->smallvec                         1.15.1                          ---      Removed  Normal       ---
icu_normalizer->zerovec                          0.11.6                          ---      Removed  Normal       ---
icu_properties->icu_collections                  2.2.0                           ---      Removed  Normal       ---
icu_properties->icu_locale_core                  2.2.0                           ---      Removed  Normal       ---
icu_properties->icu_properties_data              2.2.0                           ---      Removed  Normal       ---
icu_properties->icu_provider                     2.2.0                           ---      Removed  Normal       ---
icu_properties->zerotrie                         0.2.4                           ---      Removed  Normal       ---
icu_properties->zerovec                          0.11.6                          ---      Removed  Normal       ---
icu_provider->displaydoc                         0.2.5                           ---      Removed  Normal       ---
icu_provider->icu_locale_core                    2.2.0                           ---      Removed  Normal       ---
icu_provider->writeable                          0.6.3                           ---      Removed  Normal       ---
icu_provider->yoke                               0.8.2                           ---      Removed  Normal       ---
icu_provider->zerofrom                           0.1.7                           ---      Removed  Normal       ---
icu_provider->zerotrie                           0.2.4                           ---      Removed  Normal       ---
icu_provider->zerovec                            0.11.6                          ---      Removed  Normal       ---
idna->idna_adapter                               1.2.1                           1.2.2    1.2.2    Normal       ---
idna->idna_adapter                               1.2.1                           1.2.2    Removed  Normal       ---
idna->smallvec                                   1.15.1                          ---      Removed  Normal       ---
idna->utf8_iter                                  1.0.4                           ---      Removed  Normal       ---
idna_adapter->icu_normalizer                     2.2.0                           ---      Removed  Normal       ---
idna_adapter->icu_properties                     2.2.0                           ---      Removed  Normal       ---
indexmap->equivalent                             1.0.2                           ---      Removed  Normal       ---
indexmap->hashbrown                              0.17.0                          ---      Removed  Normal       ---
indexmap->serde                                  1.0.228                         ---      Removed  Development  ---
indexmap->serde_core                             1.0.228                         ---      Removed  Normal       ---
inotify->bitflags                                1.3.2                           ---      2.11.1   Normal       ---
inotify->libc                                    0.2.185                         0.2.186  0.2.186  Normal       ---
inotify-sys->libc                                0.2.185                         0.2.186  0.2.186  Normal       ---
is-terminal->hermit-abi                          0.5.2                           ---      Removed  Normal       cfg(target_os = "hermit")
is-terminal->libc                                0.2.185                         0.2.186  Removed  Normal       cfg(any(unix, target_os = "wasi"))
is-terminal->windows-sys                         0.61.2                          ---      Removed  Normal       cfg(windows)
itertools->either                                1.15.0                          ---      Removed  Normal       ---
js-sys->cfg-if                                   1.0.4                           ---      Removed  Normal       ---
js-sys->futures-util                             0.3.32                          ---      Removed  Normal       ---
js-sys->once_cell                                1.21.4                          ---      Removed  Normal       ---
js-sys->wasm-bindgen                             0.2.120                         ---      Removed  Normal       ---
kqueue->kqueue-sys                               1.0.4                           1.1.0    1.1.0    Normal       ---
kqueue->libc                                     0.2.185                         0.2.186  0.2.186  Normal       ---
kqueue-sys->bitflags                             1.3.2                           2.11.1   2.11.1   Normal       ---
kqueue-sys->libc                                 0.2.185                         0.2.186  0.2.186  Normal       ---
libredox->bitflags                               2.11.1                          ---      Removed  Normal       ---
libredox->libc                                   0.2.185                         0.2.186  Removed  Normal       ---
libredox->plain                                  0.2.3                           ---      Removed  Normal       ---
libredox->redox_syscall                          0.7.4                           ---      Removed  Normal       ---
lock_api->scopeguard                             1.2.0                           ---      Removed  Normal       ---
mime_guess->mime                                 0.3.17                          ---      Removed  Normal       ---
mime_guess->unicase                              2.9.0                           ---      Removed  Normal       ---
minicov->cc                                      1.2.60                          1.2.61   1.2.61   Build        ---
mio->libc                                        0.2.185                         0.2.186  0.2.186  Normal       cfg(any(unix, target_os = "hermit", target_os = "wasi"))
mio->libc                                        0.2.185                         0.2.186  0.2.186  Normal       cfg(target_os = "wasi")
mio->libc                                        0.2.185                         0.2.186  Removed  Normal       cfg(any(unix, target_os = "hermit", target_os = "wasi"))
mio->wasi                                        0.11.1+wasi-snapshot-preview1   ---      Removed  Normal       cfg(target_os = "wasi")
mio->windows-sys                                 0.48.0                          ---      0.61.2   Normal       cfg(windows)
mio->windows-sys                                 0.61.2                          ---      Removed  Normal       cfg(windows)
native-tls->libc                                 0.2.185                         0.2.186  Removed  Normal       cfg(target_vendor = "apple")
native-tls->log                                  0.4.29                          ---      Removed  Normal       cfg(not(any(target_os = "windows", target_vendor = "apple")))
native-tls->openssl                              0.10.78                         0.10.79  Removed  Normal       cfg(not(any(target_os = "windows", target_vendor = "apple")))
native-tls->openssl-probe                        0.2.1                           ---      Removed  Normal       cfg(not(any(target_os = "windows", target_vendor = "apple")))
native-tls->openssl-sys                          0.9.114                         0.9.115  Removed  Normal       cfg(not(any(target_os = "windows", target_vendor = "apple")))
native-tls->schannel                             0.1.29                          ---      Removed  Normal       cfg(target_os = "windows")
